Matricula,Qual sua idade ? ,Qual seu gênero ?,Qual a sua cor ?,Qua nível de escolaridade da sua mãe ?,Qual nível de escolaridade do seu pai ,Qual a renda familiar mensal total no período 2024.2 ?,Qual tipo de escola de ensino você frequentou no ensino médio ?,Onde você morava no período 2024.2 ?,"Quantas pessoas moravam na sua residência  no período 2024.2 ?
",Como você se desloca para a universidade no período 2024.2?,Você tinha acesso a internet onde você morava no período 2024.2 ?,No período 2024.2  você tinha computador próprio para estudar ?,Você trabalhava no período 2024.2 ?,Quantas horas você trabalhava no período 2024.2 ?,Seu trabalho interferia no seu desempenho acadêmico no período 2024.2 ?,Você recebeu auxílio financeiro da universidade  no período 2024.2 ?,Você já pensou em desistir da universidade  no período 2024.2 por dificuldades financeiras ?,Qual a renda familiar mensal total no período 2024.4 ?,Onde você morava no período 2024.4 ?,"Quantas pessoas moravam na sua residência  no período 2024.4 ?
",Como você se desloca para a universidade no período 2024.4 ?,Você tinha acesso a internet onde você morava no período 2024.4 ?,No período 2024.4  você tinha computador próprio para estudar ?,Você trabalhava no período 2024.4 ?,Quantas horas você trabalhava no período 2024.4 ?,Seu trabalho interferia no seu desempenho acadêmico no período 2024.4 ?,Você recebeu auxílio financeiro da universidade  no período 2024.4 ?,Você já pensou em desistir da universidade  no período 2024.4 por dificuldades financeiras ?,CRG,Polo
202316040015,18 a 20 anos,Masculino,Pardo,Ensino superior,Ensino superior,Até 1 salário mínimo,Pública,Casa própria,5 ou mais,Bicicleta/Andando,Sim,Não,Não,Não trabalhava no período,Não,Não,Sim,Até 1 salário mínimo,Casa própria,5 ou mais,Bicicleta/Andando,Sim,Não,Não,Não trabalhava no período,Não,Não,Sim,4.41,Cameta
202016040002,Mais de 26 anos,Masculino,Pardo,Ensino fundamental,Ensino fundamental,Até 1 salário mínimo,Pública,Aluguel,5 ou mais,Bicicleta/Andando,Sim,Sim,"Sim, estágio remunerado",Não trabalhava no período,Não,Sim,Não,Até 1 salário mínimo,Aluguel,3 a 4,Bicicleta/Andando,Sim,Sim,Não,Não trabalhava no período,Não,Sim,Não,8.58,Cameta
202116040022,21 a 25 anos,Masculino,Pardo,Nenhuma,Nenhum,Até 1 salário mínimo,Pública,Casa própria,3 a 4,Bicicleta/Andando,Sim,Sim,Não,Não trabalhava no período,Não,Não,Sim,Até 1 salário mínimo,Casa própria,3 a 4,Bicicleta/Andando,Sim,Sim,Não,Não trabalhava no período,Não,Não,Sim,3.05,Cameta
202416040025,21 a 25 anos,Masculino,Pardo,Ensino fundamental,Nenhum,Até 1 salário mínimo,Pública,Aluguel,1 a 2,Bicicleta/Andando,Sim,Não,Não,Não trabalhava no período,Não,Não,Sim,Até 1 salário mínimo,Aluguel,1 a 2,Bicicleta/Andando,Sim,Sim,Não,Não trabalhava no período,Não,Não,Sim,2.67,Cameta
202416040020,18 a 20 anos,Masculino,Pardo,Ensino médio,Ensino médio,Até 1 salário mínimo,Pública,Aluguel,3 a 4,Bicicleta/Andando,Sim,Não,"Sim, trabalho informal",Até 20 horas/semana,"Sim, bastante",Não,Sim,Até 1 salário mínimo,Aluguel,3 a 4,Bicicleta/Andando,Sim,Não,"Sim, trabalho informal",Até 20 horas/semana,"Sim, bastante",Não,Sim,2.62,Cameta
202416040022,18 a 20 anos,Feminino,Branco,Ensino médio,Ensino médio,3 a 5 salários mínimos,Pública,Casa própria,3 a 4,Veículo próprio,Sim,Sim,Não,Não trabalhava no período,Não,Não,Não,3 a 5 salários mínimos,Casa própria,3 a 4,Veículo próprio,Sim,Sim,Não,Não trabalhava no período,Não,Não,Não,3.37,Cameta
202416040026,18 a 20 anos,Masculino,Branco,Ensino médio,Nenhum,Até 1 salário mínimo,Pública,Casa própria,1 a 2,Bicicleta/Andando,Sim,Não,Não,Não trabalhava no período,Não,Não,Não,Até 1 salário mínimo,Casa própria,1 a 2,Bicicleta/Andando,Sim,Não,Não,Não trabalhava no período,Não,Não,Não,2.79,Cameta
202416040010,21 a 25 anos,Masculino,Pardo,Ensino médio,Ensino fundamental,Até 1 salário mínimo,Pública,Casa própria,3 a 4,Bicicleta/Andando,Sim,Não,"Sim, trabalho informal",Até 20 horas/semana,"Sim, um pouco",Não,Sim,Até 1 salário mínimo,Casa própria,3 a 4,Bicicleta/Andando,Sim,Não,"Sim, trabalho informal",Até 20 horas/semana,"Sim, um pouco",Não,Sim,3.72,Cameta
202416040014,Mais de 26 anos,Feminino,Pardo,Ensino fundamental,Nenhum,Até 1 salário mínimo,Pública,Aluguel,5 ou mais,Bicicleta/Andando,Sim,Não,Não,Não trabalhava no período,Não,Não,Sim,Até 1 salário mínimo,Aluguel,5 ou mais,Bicicleta/Andando,Não,Não,Não,Não trabalhava no período,Não,Não,Sim,2.38,Cameta
202116040010,21 a 25 anos,Masculino,Pardo,Ensino superior,Ensino fundamental,1 a 3 salários mínimos,Pública,Aluguel,1 a 2,Bicicleta/Andando,Sim,Sim,Não,Não trabalhava no período,Não,Sim,Não,1 a 3 salários mínimos,Aluguel,1 a 2,Bicicleta/Andando,Sim,Sim,Não,Não trabalhava no período,Não,Sim,Não,7.54,Cameta
